"Informazioni cronologiche","A chi regaleresti un cesto natalizio?","(1) - Scegli un cesto tra:","(2) - Scegli un cesto tra:","(3) - Scegli un cesto tra:","(4) - Scegli un cesto tra:","(5) - Scegli un cesto tra:","(6) - Scegli un cesto tra:","(7) - Scegli un cesto tra:","(8) - Scegli un cesto tra:","Quanti anni hai?","Qual è la tua occupazione?","Genere","Provincia di residenza (es: TN):","Un'ultima domanda importantissima :)"
"2019/12/14 9:06:52 PM CET","Parente","Pandoro, Passito, Miele, Grana                - 10 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante, Salame,  Miele       - 20 euro","Panettone,  Passito                    - 13 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","34","Lavoratore","F","TN","Team Pandoro"
"2019/12/14 9:58:20 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","36","Lavoratore","M","Tr","Team Pandoro"
"2019/12/14 10:16:17 PM CET","Parente","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito                    - 13 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","32","Lavoratore","M","Milano","Team Panettone"
"2019/12/14 10:16:45 PM CET","Amico","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","64","Pensionato","F","Mi","Team Panettone"
"2019/12/14 11:32:25 PM CET","Parente","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","35","Lavoratore","F","Mi","Team Panettone"
"2019/12/15 12:40:29 PM CET","Amico","Pandoro, Passito, Miele, Grana                - 10 euro","Panettone, Spumante, Salame, Torrone, Cioccolatini                            - 20 euro","Panettone, Spumante, Miele, Grana                                        - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","51","Altro","F","Vi","Team Panettone"
"2019/12/15 12:45:03 PM CET","Parente","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele                              - 20 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Pandoro, Passito,  Cioccolatini      - 10 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","58","Pensionato","F","VI","Team Panettone"
"2019/12/15 12:46:46 PM CET","Amico","Panettone, Passito, Cioccolatini, Miele, Grana  - 20 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Passito,  Salame, Torrone, Miele, Grana - 20 euro","Panettone,  Passito, Torrone, Cioccolatini, Grana - 16 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Pandoro, Spumante, Salame, Miele,       - 13 euro","5 9","Lavoratore","M","VI","Team Panettone"
"2019/12/15 12:52:19 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Pandoro, Spumante, Salame, Torrone, Cioccolatini, Miele,  Grana                              - 10 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Pandoro, Spumante, Salame, Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Torrone, Grana - 20 euro","Panettone,  Spumante,  Cioccolatini   - 16 euro","Panettone,  Passito,  Salame,  Cioccolatini, Grana - 20 euro","Panettone,  Spumante, Salame,   Grana - 10 euro","59","Lavoratore","M","Vi","Team Pandoro"
"2019/12/15 12:52:32 PM CET","Parente","Pandoro, Passito, Torrone, Grana                  - 13 euro","Panettone, Spumante, Cioccolatini, Torrone, Miele - 20 euro","Pandoro, Passito, Salame, Grana                      - 16 euro","Panettone,  Passito,  Salame,  Miele - 13 euro","Panettone,  Passito,  Salame, Torrone                          - 16 euro","Pandoro, Spumante,  Torrone,  Miele       - 16 euro","Panettone,  Passito                    - 13 euro","Pandoro, Passito, Torrone, Cioccolatini, Miele,       - 13 euro","69","Pensionato","F","","Team Panettone"
